Report Type,Id,Class,Submitted Date,Headline,Year,Season,Month,State,County,Location Details,Nearest Town,Nearest Road,Observed,Also Noticed,Other Witnesses,Other Stories,Time And Conditions,Environment,Follow-Up,Follow-Up Report,Date,Author,Media Source,Source Url,Media Issue,Observed,A & G References
Report,30238,Class A,"Friday, July 29, 2011.",Worker has late night encounter at gas well near Aledo,2011,Summer,June,Texas,Parker,Hwy 5 south of Aledo,Aledo,,"Gas well site. 6 tanks with loud compressors, a creek behind the tanks with houses everywhere. I had 2 lights on my tractor trailor and one on my hard hat so I can read gages. I start to grab my stuff and am almost to the steps. I seen eyes light up from my hard hat light. They were about 20 feet from the compressor steps, on the other side of the fence by the creek. Now I am a hog hunter, so I am used to seeing eyes until I was looking up at it. So I knew it was not a hog or a deer, or horse ,or cow. As it looked at me, and I stood there looking at it, it stepped out from behind a tree toward the fence. It looked at me, then turned so I could not see its eyes anymore, and it walked like a human into the creek. So I ran to my truck and called my boss. Now I am not scared of a man, but that was not a man.",,"No, I was alone",,2:oo am,,Follow-up investigation report by BFRO Investigator Gary Christensen,"I spoke with the witness by phone and visited the sighting location both during the day and at night. The following details can be added.The witness said that while hooking up hoses at a gas storage and compressor facility, he noticed a white glow of animal eye shine coming from the woods behind the site. The owner of the eyes moved toward him and stopped at a 12 foot tall cable fence, then turned left and moved into the wooded creek bottom. The fence consists of vertical support beams and horizontal steel cables spaced about a foot apart. Visibility through the fence is excellent. However, the 2 LED headlamp that the witness was wearing cast a wide weak beam that did not illuminate the creature well enough to see many details of its appearance at the 25 foot distance between them. The details that he could provide were a dark muscular shape, a short but visible neck, short hair, a pupil in the reflective eyes, and a height of 7 ½ to 8 feet by recalling where the eyes were in reference to its surroundings.This encounter so impressed the witness, that he is using trail and security cameras to obtain more evidence of the creature and is searching for footprint and hair sample evidence. He emailed trail camera photos of me investigating the area and buck deer on a game trail at the site. This witness is a night hog hunter, very knowledgeable of local wildlife, and very credible. The witness' boss, who has been a longtime resident of the sighting area, has also seen the eyes and remarked to the witness that many locals have had experiences with the monster. Since this sighting, another witness submitted a report from the same location (Report #30504, Gas field trucker has encounter at well head near Aledo)",,,,,,,
Report,39137,Class B,"Sunday, January 20, 2013.",Hunter flushes large creature when retrieving rabbit near city of Mineral Wells,2010,Fall,November,Texas,Parker,,Mineral Wells,Mineral wells hwy,"I was down at our tank hunting rabbits and I shot once and missed, so I quickly shot again. As soon as I shot the rabbit, I walked towards it to make sure it was dead. At that time, a huge black figure took off running through the woods; and it was so fast that it was gone in a matter of seconds. I grabbed the rabbit and ran back up to our house. I didn't go back down to our tank for at least half a year.",When it ran off it was very loud,No just me,Strange noises,It was pretty cool outside I had a light jacket on. It was very clear too the leaves were changing,A few ponds. Tons of wildlife,Follow-up investigation report by BFRO Investigator Gary Christensen,"I spoke with the witness by phone. He added the following information. The ""tank"" he refers to is a small pond. They are common throughout that area and are usually dug with heavy equipment by landowners to provide water for livestock. It was late in the afternoon and the woods were abnormally quiet, devoid of normal woods noise. He was 10-15 yards from the rabbit when he shot it. The large, black, hairy figure was 5-10 yards beyond the rabbit. He only observed the creature in profile view and estimated its height at over 6 feet. The head had a flat face, no snout. He stated that it ran through the brush much faster than a human and was headed downhill toward a dry pond and the fence line bordering his neighbors property.On another occasion, while tent camping on the property with friends, late at night, they heard a very deep grunt, close to the tents, that frightened them. No one felt like getting out of the tent to check it out.I found the witness to be sincere and forthcoming in response to my questions.",,,,,,,
Report,9810,Class A,"Saturday, November 20, 2004.","While parking near Sunshine Lake, teens have late night encounter",1982,Winter,December,Texas,Parker,Near Sunshine Lake.,Weatherford,,"My girlfriend and I were parking at the edge of a creek flowing into the back of the lake. It was dark and under the cover of trees where we were parked you could not see your hand in front of your face. We had the windows cracked little and were in the back seat of the car when we heard something out of the ordinary. We had been there before so knew the usual night sounds in the area. A owl lived in the big tree near by and hooted all the time. The hill in front of the car went down to a swamp with a creek in the middle going to the lake. There was crickets, frogs and locust all making there normal sounds that night. But we heard something coming through the leaves in the bottoms, it sounded like it was heading to our car. I have spent a lot of time in the woods hunting, fishing and trapping growing up so I don't get spooked to easy. At first I thought it was a cow, but then we noticed all the night sounds were gone, no frogs, crickets, owl - dead quiet except the foot steps. They were on 2 feet a step and a drag step like it had a hurt foot or something. Then being a kid I thought of all the horror movies I watched and figured it was a guy who jumped the train and was coming to kill us and take our car. As the steps got closer I got really bugged, it was coming up the hill right at the car. Finally after what I thought was an eternity I flew over the front seat and started the car, the only problem was it was a new car she just bought and I never drove it. She was screaming about dieing or something when I threw it in reverse and stomped the gas. I was there before and new the road opened up behind me so as I was going backwards I hit the light switch. This was a big mistake because it turned out to be the cigarette lighter, as soon as we came out of the tree cover we got some moonlight and I found the headlight switch.","Just the tracks that we found. We found a weird stick formation. We thought some kids made a fort. It looked like a bunch of sticks 5 foot in length and wrist width lined up in a row on a tree limb, like a lean-to.",Just my girlfriend and I saw the creature that night. My brother and friends heard the tree limb snap. My brother did see something big when we went back the next day.,I heard of a few other sightings in the area.,"11 pm, clear, warm night.","Swampy, nearby dairy farm.",Follow-up investigation report,"I have spoken at length with the witness on numerous occasions and consider him to be among the most credible of witnesses. There are no additional details to add to the report.It seems in the 1970's and into the 1980's, the Cross Timbers Region of Northwest Texas had a number of bigfoot encounters. There are still occasional sightings in the general area of the northern section of the Brazos River from Johnson and Hood counties northwestward and in the general area of Possum Kingdom Lake into Parker, Palo Pinto and Jack counties. BFRO and TBRC researchers are planning more extensive research in the area (Jack County, Parker County, Palo Pinto County) at some point in the near future. ",,,,,,,
Report,400,Class A,"Wednesday, October 4, 2000.",Woman remembers encounter not far from Brazos River. ,1975,Fall,October,Texas,Parker,It was at the corner of Bennett Road and Dobbs Valley Road.,"Bennett, TX",It was on Bennett Road.,"I was driving home from town, to my parents house in southwest Parker County, when I came to the turn off to go down their road. I saw something big to the left of the road. It was dark brown or black and was standing up next to a tree.  It must have been 7 or 8 foot tall. It looked like it was eating leaves off a tree or something. As I drove up to the turnoff, it ran back (on 2 legs) into more trees, toward my parents home. I was afraid to get out of the car when I reached the house, thinking this thing could be right behind me. This memory has always haunted me. I do not lilke going down to my parents house at night any more, for fear something is living around that area. My parents house is about 1 to 1 1/2 miles from the Brazos river.","The property is all fenced in, I did not go back and look for any footprints or anything, frankly I was too scared to.",Just me.,I have not heard of any other reports of this kind.,"It was dusk, not quite dark, but not daylight.","The creature was inside the fence, at a clump of trees.",Follow-up investigation report,"I spoke with the witness via telephone about her encounter that took place when she was a teenager.Although her encounter occurred many years ago, the witness recalled it like it happened recently.  My call was placed to her without warning, and it had been a substantial amount of time since she submitted the report, yet she spoke of the incident with assurance.The witness told me that she was driving home one evening just as the sun was going down.  It was not quite dark enough to necessitate the use of headlights.  As she turned onto the road on which her parents lived, she saw something large to her left standing next to a tree with its back to her.  The witness said she immediately thought it was a bigfoot.  The creature was ""reaching up in the trees picking berries or leaves.""  I rather surmise that the creature was more likely attempting to harvest pecans or acorns.  At any rate, the witness had an instantaneous fear reaction.  She said she could see that the creature was covered in ""brownish-red, dark, long hair"" and that its ""arms were long.""  The witness went on to describe the animal as having an appearance like a ""humongous man but hairy.""  As the witness drove past the animal, it ""took off running west on two legs.""  The witness also stated that the bigfoot ""ran very fast"" and that its ""stride was very long.""  She noted that it ""ran into the trees.""  The creature never turned to face her.  Her encounter was very short and she was quite shaken by it.    She drove on to her parents' house but was afraid to get out of the vehicle for fear that the animal ""may have followed"" her.  Finally, she gathered the courage to exit the vehicle, and went into the house, only to have her parents tell her that she was ""seeing things.""  However, years later, her husband (being from East Texas) would have no trouble believing her.  The witness stated that the area was very much ""a wilderness area"" back then, but now is much more developed with new homes appearing more often.In summation, the witness was very clear about her encounter and was not hesitant whatsoever.  For those who would challenge her veracity, the witness simply said, ""You should have been there.  I was there - I know what I saw.""  ",October 1975,,,,,,
Report,51180,Class B,"Saturday, February 13, 2016.",Man recalls strange occurrences as a youngster in Weatherford,1976,Winter,November,Texas,Parker,"At the time, Mr. J owned the property. It was at the end of the street across a cattle guard. It was creek bottom and woods, very secluded back then.",Right on the outskirts of Weatherford. It is inside the city limits now.,Allen Street,"Seen big dark something twice. I grew up on the eastside of Weatherford, born and raised on town creek, which stretched from Sunshine lake thru Weatherford all the way to Annetta South. During the winter, I trapped and hunted fur bearing animals. One nite on weekend, I was walking the creek hunting coons and came upon a part of creek where we all swam during the summers and remember a horrible foul odor that would take your breath. I was shining my light in the trees looking for eyes and heard what sounded like someone fall in the water. But by the time we got to where the noise came from, there was nothing. Only thing was  the water was disturbed and kind of murky. I was 12 years old at that time and didn't think too much about it at that time. Now I think back to that time and one other incident and I know what it was.","A few days after that incident, the property owner stopped my buddy and I and asked why we had torn up the flood fence that crossed the creek at his property line? We told him that we didn't do any such thing and that the water was cold and over waist deep at that location. He still blamed us. We told him that the fence was not mangled and torn when we were there. That really made us wonder because whatever the being was, it had come back on the same path and and tore up the fence in just a couple of days.","Yes , My best bud that I had went school with from first grade till we graduated High School.","Five years before on the same property, my brother, a neighbor boy, and I all watched a dark object walk from the creek bottom, across an open neck of field, step over a 5 strand barbed wire fence, walk over railroad tracks, and disappear on the other side of the railroad tracks. We were several hundred yards from it and I remember all three of us shooting BB guns at it. I do remember that it did not even turn to look at us. We got home, told my parents, and got in trouble. They said we were shooting at a hobo. (That wasn't a hobo but my dad said there weren't any monsters) 1972","It was before 10 pm and very dark. It was pretty cold because I remember wearing a coat, rubber boots, and 2 pair of socks.",It was creek bottoms and some woods with Mr. J having a couple of hay fields. It was country from the VY-dock bridge all the way to Annetta South.,Follow-up investigation report by BFRO Investigator Gary Christensen,"I spoke with the witness by telephone. He said that he had 2 or 3 encounters when he was a boy. The first occurred when he was 6 or 7 in 1971 or 1972. He and two other boys saw a large hairy biped step over a 5 strand barbed wire fence, walk over railroad tracks, and disappear on the other side as he and the other boys shot at it with bb guns. He said that it was reddish brown in color and did not look back at them. Five years later while coon hunting at night with a friend, the boys heard something very large fall in the creek. In two steps, whatever it was, made it across the creek. Another time while camped on the creek, the witness and a friend experienced a rotten mud smell and heard large rocks being thrown in the creek. They also heard growls and a grunt that frightened them, and they left. Other incidents included a tree that they found that had been uprooted and planted upside down. A rancher friend reported calves missing and a cow killed and its intestines pulled out.These incidents occurred in an area that has now become a suburb of a city on the outskirts of the Fort Worth/Dallas Metroplex. I have investigated several historical and recent encounters in this area, but due to the fact that nearly all of the land is privately owned, permission to do night investigations on site have not been obtained.I found the witness to be very sincere and lucid about his experiences. I found him to be a credible witness.",AFTER THANKSGIVING,,,,,,
Report,7653,Class A,"Monday, December 29, 2003.",Two brothers have early morning encounter,1972,Summer,,Texas,Pecos,"West Texas Plain's there are some mountain's but no forest,about one hour drive from the nearest town.Pecos River is S\W of the small town.","FT,STOCKTON","near,by railraod track's","On a summer morning in 1972, can't remember what month.Me and my brother were sleeping and I noticed by our window where we slept a shadow.It was a big head pointing upward,I told my brother not too move.It stood there for about five minutes like it was looking for something.A day later we went behind the house where we saw this thing the only thing we saw was a set of tacks leading towards the house's.",Besides my hotwheel car buried in the ground.,My brother,Yes Ft Davis mountains.,"Early morning,bright day","urban setting,outside of town.",Follow-up investigation report by BFRO Investigator Eddie Flores,"Spoke to witness and added the following. When he was looking at the blinds, he could see the shadow of the head and some of the shoulders. He could also hear a low grunt. He referred to the head as being pointed. When the witness's brother woke up, he made a slight noise that got the creature to turn around. In doing so, the witness saw the profile of the creature; it had a flat face and was hunched over. The witness and his brother ran down stairs to the back door and saw that the creature was covered in black hair with brown tips walking away. They hit the glass on the back door and the creature stopped and looked around. The animal then continued to walk off. This took place in the outskirts of town; there were other houses around.",,,,,,,
Report,4140,Class A,"Friday, March 24, 2000.","Two rabbit hunters witness large, upright, hairy creature near the Pecos River late at night",2000,Winter,February,Texas,Pecos,. 9 miles south of Imperial going across the road from right to left. ( East to West ),Imperial,FM1053,"A large hairy creature unlike any thing I have ever seen before, stood up right like a person, but was NOT a person. Found footprints next day, but did not have a camera to take photos.Guessing that it would weigh around 450 to 500 pounds, very mobile, jumped a 4' fence with ease.",,"Two people saw this thing. We were talking and looking for rabbits, while working.",,,"Geography: semi arid, mountainous, lots of dried creek beds and the Pecos river, heading towards the mountians.",,,,,,,,,
Report,11635,Class B,"Sunday, May 8, 2005.",Single car accident in Big Thicket National Preserve,2005,Spring,March,Texas,Polk,,Dallardsville,Highway 190,"In March 2005 at approximately 04:30, as reported by an individual called to the scene as part of the emergency response team, an individual was involved in a single-car accident on a highway through the Big Thicket National Preserve.",,One witness in a single car accident.,,04:30.,"In the Big Thicket National Preserve. Pine forests, hardwood bottoms. Impenetrable undergrowth.",Follow-up investigation report,"Through the investigatory process, I was able to track down the individual involved in the accident. The person confirmed the event and all details as reported to me. At first, when I introduced myself and told the person that I investigated sightings of bigfoot and that there had been recent sightings in the area where the accident took place, the individual was somewhat reticent, but began to open up as the conversation evolved. The individual could give few other details other than those mentioned in the report above. The witness did not submit the report; I submitted the report due to the circumstances surrounding the event, chief among them being the willingness and availability of the individual involved in the accident.Additional details:* The individual remembered the face as appearing ""fuzzy."" * Although the individual had no idea what was standing upright ""on the yellow lines in the middle of the highway,"" the individual completely ruled out a human as a possibility. The individual told me that ""even a drunk human"" would have budged when the horn was honked; this figure simply would not move, and the motorist gave way. The individual repeatedly told me that they simply did not know what it was.  * The figure was ""bigger than a child"" and was ""between five and eight feet tall."" It should be noted that three feet is quite a variance in height, but the witness repeatedly told me that only the most obvious aesthetic details could be retained and height remained an uncertainty; ""five feet to eight feet"" was a guess. The figure was upright; had ""long hair like a woman;"" refused to yield its ground in the middle of the highway; was bigger than a child, but no taller than eight feet. No clothing could be remembered by the individual. The witness was adamant that the figure was not human, but was completely uncertain what it was.This witness cannot be accused of ""bigfoot on the brain,"" as some suggest of witnesses, because the witness did not file a report; I sought the individual out and used investigatory tools to pursue before finally managing to track the person down. While the individual was certain that the figure was not human, I remain uncertain and cannot rule out a human simply because it is my assessment that the witness could not remember enough detail to preclude a human, although the behavior attributed to the figure seemed certainly non-human. For this reason I have classified this report as Class B. Conversely, I do remain open to the possibility that the figure was a sasquatch, given the figure's behavior which was certainly animal-like in that it seemed to freeze in the headlights as animals often do, and a sasquatch does seem to match the description given by the witness. In addition, it seems improbable that a human would be standing in the middle of a highway winding through the Big Thicket at 04:30 playing ""chicken"" with a motor vehicle running somewhere around 65 - 70 miles per hour, although this does remain a possibility, albeit remote. Further, the recent spate of sasquatch sightings in the Big Thicket National Preserve also enables me to remain open about the sasquatch possibility. Finally, it is worth noting that when I made mention of the figure possibly being a sasquatch or bigfoot, the witness could not dismiss it.   ",,,,,,,
Report,11451,Class B,"Tuesday, April 26, 2005.","While biking to work, man hears loud animal in woods. ",2005,Spring,April,Texas,Polk,between Big Sandy Creek and Bear Creek,Livingston,HWY U.S. 190 East,"My husband was on his way to work, on his bicyle and there is a long hill he has to ride after bear creek. He heard something with heavy steps coming from the left side of the road, my husband stopped and used his flashlight into that area, when he did that whatever it was started moving back into the woods and he could hear branches breaking. My husband said, he rode his bike so fast. Whatever it was scared him. It happened around 5:30 a.m.",It was making a grunting sound.,"We live 6 miles from his job, he wanted to leave early enough to get to work.","Yes, my brother lives nearby and his nieces have seen this ""bigfoot"" and my brother he said the scent it leaves smelled so bad. This happens first of spring and late fall. The elders say the trails they walk through now homes stand.","5:30 a.m., foggy",Wooded. There are brick homes and there is a ballpark across the road.,Follow-up investigation report,I have spoken to the witness about this encounter. The event was described as occurring in the early morning while he was on his way to work; he rides a bicycle to work. It is one of several recent events in the area that may be related to sasquatch activity.Apparently the animal seemed to be stalking the witness as he rode his bicycle. He could hear much noise just inside the woodline and loud grunting noises. ,7th,,,,,,
Report,11325,Class A,"Monday, April 18, 2005.",Teen has sighting through bedroom window. ,2005,Spring,March,Texas,Polk,,livingston,US highway 190,"This is what happened as told to me by my sister-in-law who lives with my wife and family. On this night she had my baby daughter in the room with her on the bed and she was getting up to close the blinds to the window that she said,"" she could see the stars up in the sky that she had noticed earlier that night"", as she got up off the bed, she turned to make sure her niece wasn't going to fall from being close to the edge, when she turned back towards the window she noticed something looking in from the outside, it scared her so much that she grabbed her niece and ran out of the room to tell her mother who was in one of the other rooms of the house. Her mother then called my place of work to have me come back to house to take a look around, as I first arrived, I noticed that there was some kind of bad odor in the area but as i keep looking around along with my coworker, who gave me ride back to my house, and my mother-in-law, on the east side of the house where there is no lights, we all heard something stepping on twigs or branches laying on the ground for the snapping and breaking noise that it makes, as I attempted to walk towards the noise, whatever was there seemed to move farther back into the woods out of reach of my flashlight, after looking around we went to ask my sister-in-law if she could say who or what she had seen in the window, all she could say was that it was ""big, black, hairy"" and something about its eyes, she is really talkative all of the time but after that happened she looked liked she was in shock her face was pale and her eyes seemed to liked she was lost.","Right after this happened she told her mother who was in the hallway from her room, who then called for me to be enroute back to the house, for I had just started my shift at work and in about four to six minutes, my coworker and myself arrived at the house to find my mother-in-law on the front porch waiting for us, as we got out of the vehicle to take a look around towards the back of the house, all three of us heard some noise in the woods on the east side of the house just out of reach of our flashlights, the noise we heard sounded as if whatever was there was moving away farther into the woods, it was like someone stepping on branches and you could hear the popping or snapping noise it makes.","One, cleaning her room, while watching her baby niece, who was on the bed, as she was about to close the blinds to the window, she stated that she had turned to see where her niece was, then turned back towards the window, which she said she had been looking out of earlier in the night looking at the stars, when she noticed that someone or something was standing by the window looking inside at her, after asking her if she could describe who or what it may have looked liked all she could say was ""big, black, hairy"" and that the eyes really scared her.",,"It was just after midnight, the weather was cool, skies were clear.","The area that I live would be considered a pine forest, considering that all around the area i live is or has been clear cut in all directions except for southside for it is part of The Big Thicket National Preserve.",Follow-up investigation report,"Robert Fletcher (biologist and investigation volunteer) and I visited the site of the encounter and spoke at length with the witness and others who were involved in the incident. The site is at the edge of the Big Thicket National Preserve. The vegetation is dense, and in many areas nearly impenetrable. During the face-to-face interview, the primary witness gave a compelling report of how she viewed a large, hairy ape-like creature as it was peering through the bedroom window. The witness showed us where the animal was positioned and described exactly how it was apparently standing when she saw it. The witness described the animal as standing to the side of the window in what must have been a bent stance; its left shoulder was visible and it had the appearance of being somewhat stooped. The witness saw hair on the shoulder and all over the head. One small human-like ear was visible on the animal's left side; the ear was partly covered with hair. The witness stated that the nose was wide and flat. Hair covered the face except around the mouth and eyes. The skin was black. The eyes were said to be very large and dark - and the witness remarked that the eyes scared her; she saw no white around the eyes. The closest thing that the witness could compare the animal to was a gorilla. Upon comparing my own height of five feet eleven inches in a stooped position while viewing from the side of the window in the same manner as the animal as described by the witness, it became apparent that the animal must have been one foot taller than me; Fletcher and I surmised that the creature was no less than roughly seven feet in height.The witness stated that the animal appeared to quickly recede into the darkness toward the thicket surrounding the house. When the submitter of the report arrived, he and his partner attempted to venture into the thicket to determine the source of the sounds of footfalls they were hearing. As they approached, the footfalls retreated deeper into the thicket. He and his partner would stop, the footfalls would stop; they attempted again to proceed after the unseen trespasser and once again it proceeded to flee deeper into the dense undergrowth. The men did find a single track in the sand and found a section of the fence behind the house bent over. The witnesses have since burned a significant amount of the thicket surrounding the house in an attempt to make the immediately adjacent areas more conducive to visibility. The redounding ashes seemed to make the area quite good for footprints, should the witnesses be revisited.The Alabama-Coushatta word for the animal is ""eeyachuba."" ",sunday,,,,,,
Report,4141,Class A,"Sunday, November 9, 1997.","Witness spots a large, dark, hairy creature standing 50 yards away",1964,Unknown,,Texas,Polk,,Livingston,,"When I was approx. 10 years old, I went with my best friend Doug and his mother to a small cemetery in the Big Thicket east of Livingston.  Doug had had a little brother who died at birth and was buried there.  His mom had asked if I wanted to go with them to visit the grave.  Just after she had finished putting some flowers on the grave and saying  a little prayer, we were turning to go back to the car when we heard something crash at the edge of the woods behind the cemetery.  We looked back and saw a large, dark, hairy creature standing right behind the back fence of the cemetery -- maybe 50 yards away.  Mrs. Jones screamed and the creature gave a loud grunt and shuffled back into the woods -- kind of a half-waddle, half-trot.  Mrs. Jones told us to get in the car quick, which we did.  Doug said she never went back to the cemetery again.",,,,,Pine Forest in the East Texas Big Thicket.  Plenty of creeks nearby.,,,,,,,,,
Report,21850,Class A,"Wednesday, October 17, 2007.","Camper startles a ""Chewbacca"" like creature in Palo Duro Canyon State Park",2006,Fall,October,Texas,Randall,,Canyon,In Palo Duro Canyon State Park,"It was about 1:00 am on 10/21/06 when I was camping in the Palo Duro Canyon State Park for the Palo Duro Canyon trail run the following morning. I had gotten up from my sleep and was walking down to the public restroom when I heard something rustling in the trees off to the right of the road. I turned my flashlight towards the noise and was startled to see a very large chewbacca-like thing scream like it was startled and then it turned into the trees and quickly vanished. I had stopped stiff in my tracks and was scared to death. Not only had I never heard a sound like that before, but I had never seen anything like that. It was a darkish gray-brown color with hair all over its body, deep set eyes, about 7-8 feet tall, slender with long arms, and it moved very quickly. I heard someone in a camp site nearby asking what that noise was, but I just went back to my tent and got inside. I could not sleep the rest of the night. In the morning when I made it to the run, I talked to 3 other people that said they saw and/or heard the same thing. I'm going back this year, but I hope I don't see the bigfoot again.",,3 but their details are unknown to me. One said he saw the bigfoot run across a road in 2-3 steps and vanish as quickly as it appeared.,No,1:00am so it was dark and cold,Base of Palo Duro Canyon in the state park,Follow-up investigation report by BFRO Investigator Sybilla Irwin,"These details can be added after communicating with the witness: The witness was walking on a small road to the public restrooms around 1AM when he heard a rustling sound. He quickly shined his flashlight in the direction of the sound and heard what he described as a ""sound scarier than anything I've ever heard"". It sounded like a deep, full gasp. He could tell by the sound and the creature's movement and expression that he had startled it. It instantly moved into the trees and vanished. He reported the creature was 30 to 40 feet away from him. It was too dark to see much in the way of detail but the eyes looked dark and deep-set. Its entire body, including its chest and face, was covered with darkish gray hair. He said it looked similar to ""Chewbacca"". He reported that its hair was like animal hair and not fur. He noted that the arms were much longer than a man's and extended almost to its knees. He noticed that its head was much larger than a human being. He estimates the shoulder width to be broad - approximately 30 to 36 inches; and its weight a lean 300 lbs. There was no odor associated with his sighting.What he saw paralyzed him with fear. He immediately abandoned the trip to the restroom. He was so scared he chose instead to relieve himself behind his tent. Once back inside his tent he listened intently and heard coyotes on and off during the early morning hours, but heard no other sounds. He admitted he was sleepless for the rest of the night.  He looked for tracks the next day and spoke with three other people, one of which described seeing a Bigfoot creature moving quickly through the area, trying to hide or run away.He reiterated that what he saw and heard was incredibly frightening because he had never seen anything like that in his life, and he hoped he wouldn't see it again. He said it was like, ""seeing a monster"".",21,,,,,,
Report,7168,Class A,"Friday, October 24, 2003.",Hunter and family has repeated encounters over two decades,1979-2003,Fall,November,Texas,Red River,,Manchester,,"BFRO Investigators James Walker and Daryl G. Colyer have interviewed this witness extensively.  This report was filed on behalf of the witness, due to his inaccessibility to the internet.","Every year, the witnesses experience activity in an almost predictable manner.","Over the period of time mentioned above, the entire family, (sons, daughters-in-law, grandchildren) have had experiences with the creatures.","The witness asserted that he and his family have been kept up ""all night long"" on occasion by the chattering, howling, hooting and yelling of the animals.","Sighting took place in afternoon - approximately 4pm.  Other incidents occurred after dark, usually in early morning hours.","Mixed forest - loblolly pines, shortleaf and longleaf pines, sweetgum, various oaks (pin, red, etc.), pecan, black walnut.  Only two to three miles south of the Red River and the Oklahoma state line.  Approximately 40 - 50 miles north of the Sulphur River.",Follow-up investigation report by BFRO Investigator James Walker,"On three separate occasions I interviewed the witness and two family members who have also hunted and camped out at this lease area many times over the last 20 years.  All three agreed on a number of key points.  The activity is ongoing and almost predictable at some times of the year, particularly the fall/early winter months during hunting season.  Camp intrusions and intimidating actions tend to occur in the early evening right after bed time or as the camp is settling down for the evening and the hunters have gone into their tents and campers.  Vocalizations range from low grumbling, mumbling and coughs to whoops and howls to the high pitched screams that seem to be used for positioning or recognition over great distances.   Two additional witnesses (the primary witness's nephews), who are now grown men with families of their own, discussed a number of other interesting experiences to add to the already impressive activity in evidence at this location.   These are events that have occurred at intervals over a long period of time and while highly important to an investigative interviewer and to the full and accurate picture of just how much activity is going on in Northeast Texas, were viewed as secondary by the witnesses having been eclipsed by some of the more alarming experiences of more recent years as reported by Daryl above.   On one of the earliest occasions, the primary witness accompanied on a hunting campout by these two nephews, then youngsters of 10 and 12, was run out of camp in the middle of the night by a cacaphony of vocalizations originating from the deep woods and seemingly surrounding the campsite. These sounds were described by the three as ""the most godawful mumbling, grumbling, and cantankerous carrying on that you could ever imagine - worse than three, big, mean dogs fighting over a fresh bone.""   The witnesses recalled at first waking to the sounds of what they thought must be a ""group of people partying in the woods a quarter mile away."" However, as the sound got closer they realized to their increasing agitation that the sounds weren't coming from people and were unlike any sounds they had ever heard before. The sounds sounded more like ""large jungle animals"" coming right up to just beyond flashlight distance from the camp. The witnesses fled camp with nothing but the one rifle, leaving everything else behind.   When the adult witness returned a day later, having driven through the night to get the youngsters home, he found everything torn to shreds in the camp - tent torn to pieces, lid ripped off the cooler, lawn chairs crushed and mangled.   After this event the witness moved an old bus down to the property to use as a more solid shelter and as the youngsters grew into men they bought campers and trailers to use when staying down at the lease. The bus and trailers have provided scant comfort and only a small feeling of added protection as the visitations have continued over the years to include numerous jostlings, bangs and bumps. At one time one of the trailers was shaken to the extent that most of the dishes and canned goods were knocked out of the cabinets. This particular event was sufficiently alarming to cure one rattled spouse from ever setting foot in a camper at the lease again - and she hasn't. A final interesting occasion of note - the primary witness and one of the nephews were down at the lease one opening weekend with a brother-in-law who was completely skeptical of all the ""spook stories"" he had heard about the camp and he was down to see for himself. On the second night, AFTER they had killed and dressed two deer that day, the camp was disturbed and the bus knocked hard on the side - the brother-in-law jumped up and ran outside only to run smack into a smelly wall of hair in the dark! I can only assume the witness is correct in suggesting that this cured both his curiousity and his skepticism. The witness added that they no longer dump any food scraps, trash or deer clean-up anywhere near the main camp area, preferring to put it well away somewhere on the back of the property and well before dark. Of additional interest - the landowner will have nothing to do with the property and provides no upkeep or maintenance. He only offered a stern admonishment to the hunters that ""if you hurt yourself or get into any other trouble down there, don't call me, because I won't be coming down to help you."" Update by BFRO Investigator Daryl G. Colyer - 17 February 2004:  My wife and I conducted an extensive investigation of the campsite and the surrounding, heavily-wooded area. We spent the night in the bus, and experienced no unusual activity. We heard one distant, loud, unidentifiable ""roar"" (for lack of a better word), but nothing else of note. We found no tracks nor anything else that could be associated with the target species. The landowner to the north of the property has been and is currently clearing out some of the wooded area. If the target species was there in the past, the clearing of the woods may explain his ostensible absence at the present time. Bear in mind, however, that the woods in the area are thick and seemingly endless in some areas. The area is very close to the Red River and is less than 20 miles from the Ouachita National Forest in Southeastern Oklahoma. We will return to the area and conduct more field investigations because I am not convinced that the animals have completely abandoned the area.  ",,,,,,,
